Issues	Relationship	Link Issues
HADOOP-16995	is broken by	HADOOP-16711
HADOOP-16995	is caused by	HADOOP-17454
HADOOP-16986	is related to	HADOOP-16346
HADOOP-16982	is cloned by	HDDS-3383
HADOOP-16982	is related to	HBASE-24197
HADOOP-16982	is related to	HADOOP-16579
HADOOP-16972	is broken by	HADOOP-16314
HADOOP-16963	is caused by	HADOOP-16582
HADOOP-16963	is related to	HIVE-23751
HADOOP-16957	is related to	HADOOP-16226
HADOOP-16955	is related to	HADOOP-15616
HADOOP-16953	is related to	HADOOP-16484
HADOOP-16946	is related to	HADOOP-14839
HADOOP-16941	is caused by	HADOOP-16853
HADOOP-16939	is related to	HADOOP-16945
HADOOP-16938	is depended upon by	YARN-10210
HADOOP-16937	is broken by	HADOOP-16818
HADOOP-16932	is broken by	HADOOP-8143
HADOOP-16926	is caused by	HADOOP-16520
HADOOP-16925	is caused by	HADOOP-15549
HADOOP-16917	is related to	HIVE-24788
HADOOP-16911	is related to	HADOOP-14630
HADOOP-16910	is related to	HADOOP-16936
HADOOP-16905	is related to	HADOOP-17049
HADOOP-16905	is related to	HADOOP-17534
HADOOP-16905	is related to	HIVE-24788
HADOOP-16891	is duplicated by	HADOOP-16883
HADOOP-16891	is related to	HADOOP-16485
HADOOP-16885	is caused by	HADOOP-16490
HADOOP-16885	is related to	HDFS-15192
HADOOP-16884	is related to	HDFS-14892
HADOOP-16883	is related to	HADOOP-16485
HADOOP-16880	is related to	HBASE-23893
HADOOP-16871	is duplicated by	HADOOP-16907
HADOOP-16870	is related to	YARN-10694
HADOOP-16866	is blocked by	HADOOP-16869
HADOOP-16866	is related to	HADOOP-14316
HADOOP-16865	is related to	HADOOP-16152
HADOOP-16862	is duplicated by	HADOOP-17091
HADOOP-16857	is related to	HADOOP-17377
HADOOP-16855	is caused by	HADOOP-16346
HADOOP-16855	is related to	HADOOP-16986
HADOOP-16853	is broken by	HADOOP-16759
HADOOP-16853	is duplicated by	HADOOP-16575
HADOOP-16830	is related to	HADOOP-17281
HADOOP-16829	is blocked by	HADOOP-16111
HADOOP-16829	is blocked by	HADOOP-17519
HADOOP-16827	is caused by	HADOOP-16759
HADOOP-16825	is caused by	HADOOP-16455
HADOOP-16824	is related to	HADOOP-16754
HADOOP-16823	is related to	HADOOP-13811
HADOOP-16823	is related to	HADOOP-17935
HADOOP-16810	is required by	MAPREDUCE-7079
HADOOP-16809	is related to	HADOOP-16670
HADOOP-16804	is duplicated by	HADOOP-16879
HADOOP-16803	is related to	HADOOP-16882
HADOOP-16796	is related to	HADOOP-15603
HADOOP-16795	is blocked by	HADOOP-12956
HADOOP-16795	is blocked by	HADOOP-14693
HADOOP-16795	is related to	HADOOP-17177
HADOOP-16794	is related to	HADOOP-17966
HADOOP-16785	is related to	HADOOP-16998
HADOOP-16784	is related to	HADOOP-16025
HADOOP-16780	is related to	HADOOP-16723
HADOOP-16773	is broken by	HADOOP-16371
HADOOP-16768	is duplicated by	HADOOP-17034
HADOOP-16763	is related to	HADOOP-16579
HADOOP-16761	is caused by	HDFS-13682
HADOOP-16759	is depended upon by	HDFS-14478
HADOOP-16759	is related to	HADOOP-16101
HADOOP-16759	is related to	HADOOP-16202
HADOOP-16756	is broken by	HADOOP-8143
HADOOP-16756	is duplicated by	HADOOP-15300
HADOOP-16756	is related to	HADOOP-16932
HADOOP-16746	is blocked by	HADOOP-16697
HADOOP-16739	is depended upon by	BIGTOP-3295
HADOOP-16739	is related to	HADOOP-16856
