YARN-11068,relates to,HADOOP-17650
HDFS-16437,causes,HDFS-16536
HDFS-16437,causes,HDFS-16546
HDFS-16437,causes,HDFS-16542
HDFS-16437,is depended upon by,HADOOP-18198
HADOOP-18095,relates to,HADOOP-18194
HADOOP-18095,relates to,HADOOP-18328
HADOOP-18094,is caused by,HADOOP-17511
HADOOP-18094,is depended upon by,HADOOP-18091
HADOOP-18092,duplicates,HADOOP-17593
HADOOP-18091,depends upon,HADOOP-18094
HADOOP-18091,is caused by,HADOOP-17511
HADOOP-18091,is related to,HADOOP-18150
HADOOP-18088,causes,HADOOP-18192
HADOOP-18088,is depended upon by,HADOOP-18198
HADOOP-18088,is related to,HADOOP-18290
HADOOP-18088,relates to,SPARK-39334
HADOOP-18088,supercedes,HADOOP-17221
HADOOP-18086,is related to,HADOOP-17648
HADOOP-18086,relates to,TEZ-4378
TEZ-4378,is related to,HADOOP-18086
HADOOP-18085,is caused by,HADOOP-18068
HADOOP-18085,is depended upon by,HADOOP-18305
HADOOP-18085,is duplicated by,HADOOP-18423
HADOOP-18085,is duplicated by,HADOOP-18436
HADOOP-18085,relates to,HADOOP-17198
HDFS-16428,is depended upon by,HADOOP-18198
HADOOP-18082,breaks,HADOOP-18143
LOG4J2-3341,is duplicated by,LOG4J2-3394
LOG4J2-3341,relates to,LOG4J2-3394
LOG4J2-3341,relates to,HBASE-26723
LOG4J2-3341,relates to,HADOOP-16206
HDFS-16422,is depended upon by,HADOOP-18198
HADOOP-18079,is duplicated by,HDFS-16651
HADOOP-18079,supercedes,HDFS-16384
HADOOP-18078,is related to,SPARK-38934
HADOOP-18078,is related to,HADOOP-18233
HADOOP-18077,is related to,HADOOP-18055
HADOOP-18076,relates to,HADOOP-17338
HADOOP-18075,is caused by,HADOOP-17979
HADOOP-18075,is duplicated by,HADOOP-18147
HADOOP-18074,is depended upon by,HADOOP-18305
HDFS-16419,is a child of,HADOOP-17193
HADOOP-18073,is depended upon by,HADOOP-18067
HADOOP-18073,is related to,HADOOP-18352
HADOOP-18073,relates to,HADOOP-18286
HADOOP-18072,is blocked by,HADOOP-17474
HADOOP-18069,duplicates,HDFS-16453
HADOOP-18068,causes,HADOOP-18085
HADOOP-18068,is depended upon by,HADOOP-18305
HADOOP-18068,is related to,HADOOP-17198
HADOOP-18067,depends upon,HADOOP-18073
HADOOP-18067,depends upon,HADOOP-18028
HADOOP-18067,depends upon,HADOOP-18179
HADOOP-18067,supercedes,HADOOP-17566
HADOOP-18066,blocks,HIVE-25829
HADOOP-18066,is related to,HIVE-14822
HADOOP-18062,duplicates,HADOOP-18061
HADOOP-18062,relates to,HADOOP-17445
HDFS-16407,is a child of,HADOOP-17193
HADOOP-18061,is duplicated by,HADOOP-18062
SPARK-37771,relates to,HADOOP-17372
HADOOP-18056,is related to,HIVE-25787
HADOOP-18055,is related to,HBASE-21926
HADOOP-18055,relates to,HADOOP-18077
HADOOP-18055,relates to,HIVE-20202
HIVE-25829,is blocked by,HADOOP-18066
